,Last Refresh: 2021-05-02 16:49:40,,,,,,,,,,,
Calendar Basis,,,,,,,,,,,,
Portfolio,KOSPIpeis,Default,,,,,,,,,,
Item, , ,,,,,,,,,,
Frequency,년간,KRW,,,,,,,,,,
Non-Trading Day,Previous,Asc,,,,,,,,,,
Include Weekend,ALL, ,,,,,,,,,,
Term,20150501,20210430,,,,,,,,,,
Symbol,Symbol Name,Kind,Item,Item Name ,Frequency,2015-12-31,2016-12-31,2017-12-31,2018-12-31,2019-12-31,2020-12-31,2021-04-30
A005930,삼성전자,NVAL-IFRS(C),6000701060,PBR(배),ANNUAL,1.15,1.48,1.76,1.10,1.49,2.06,2.06
A005930,삼성전자,NVAL-IFRS(C),6000701061,수정PBR(배),ANNUAL,1.15,1.48,1.76,1.10,1.49,2.06,2.06
A005930,삼성전자,NVAL-IFRS(C),6000701001,PER(배),ANNUAL,11.47,13.18,9.40,6.42,17.63,21.09,21.09
A005930,삼성전자,NVAL-IFRS(C),6000701002,수정PER(배),ANNUAL,11.47,13.18,9.40,6.42,17.63,21.09,21.09
A005930,삼성전자,NFS-IFRS(C),6000906001,영업이익(천원),ANNUAL,"26,413,442,000","29,240,672,000","53,645,038,000","58,886,669,000","27,768,509,000","35,993,876,000",
A005930,삼성전자,NFS-IFRS(C),6000909001,영업활동으로인한현금흐름(천원),ANNUAL,"40,061,761,000","47,385,644,000","62,162,041,000","67,031,863,000","45,382,915,000","65,287,009,000",
A005930,삼성전자,BTA,S41B0D1005,"베타 (D,1Yr)",DAILY,0.940470,1.362460,1.721260,1.277260,1.458160,1.006930,1.106020
A000660,SK하이닉스,NVAL-IFRS(C),6000701060,PBR(배),ANNUAL,1.01,1.31,1.61,0.89,1.36,1.59,1.59
A000660,SK하이닉스,NVAL-IFRS(C),6000701061,수정PBR(배),ANNUAL,1.01,1.31,1.61,0.89,1.36,1.59,1.59
A000660,SK하이닉스,NVAL-IFRS(C),6000701001,PER(배),ANNUAL,5.18,11.02,5.23,2.83,34.15,18.14,18.14
A000660,SK하이닉스,NVAL-IFRS(C),6000701002,수정PER(배),ANNUAL,5.18,11.02,5.23,2.83,34.15,18.14,18.14
A000660,SK하이닉스,NFS-IFRS(C),6000906001,영업이익(천원),ANNUAL,"5,336,100,000","3,276,746,000","13,721,326,000","20,843,750,000","2,719,179,000","5,012,624,000",
A000660,SK하이닉스,NFS-IFRS(C),6000909001,영업활동으로인한현금흐름(천원),ANNUAL,"9,319,520,000","5,548,922,000","14,690,614,000","22,227,199,000","6,549,736,000","12,314,571,000",
A000660,SK하이닉스,BTA,S41B0D1005,"베타 (D,1Yr)",DAILY,1.253210,1.242200,1.779440,1.226740,1.838990,1.099800,1.204310
A051910,LG화학,NVAL-IFRS(C),6000701060,PBR(배),ANNUAL,1.87,1.38,1.92,1.56,1.43,3.57,3.57
A051910,LG화학,NVAL-IFRS(C),6000701061,수정PBR(배),ANNUAL,1.87,1.38,1.92,1.56,1.43,3.57,3.57
A051910,LG화학,NVAL-IFRS(C),6000701001,PER(배),ANNUAL,21.06,15.06,16.30,18.45,79.31,125.83,125.83
A051910,LG화학,NVAL-IFRS(C),6000701002,수정PER(배),ANNUAL,21.06,15.06,16.30,18.45,79.31,125.83,125.83
A051910,LG화학,NFS-IFRS(C),6000906001,영업이익(천원),ANNUAL,"1,823,568,000","1,991,920,000","2,928,457,000","2,246,070,000","825,415,000","1,798,159,000",
A051910,LG화학,NFS-IFRS(C),6000909001,영업활동으로인한현금흐름(천원),ANNUAL,"3,172,130,000","2,516,697,000","3,180,748,000","2,124,969,000","3,121,101,000","5,840,832,000",
A051910,LG화학,BTA,S41B0D1005,"베타 (D,1Yr)",DAILY,1.601200,1.363820,1.206280,1.339240,1.071440,1.358600,1.333320
